artist_label_id,source_artist_label,label_attribution_status,eligible_song_count,eligible_written_line_occurrence_count,dominant_written_rhyme_family,dominant_family_share,adjacent_same_family_rate,local_four_line_family_echo_rate,local_echo_lift_over_iid_frequency_expectation,two_syllable_pattern_local_echo_rate,share_of_lines_in_adjacent_runs_of_two_or_more,normalised_family_entropy
ALBL-ecfef7f6f92be0e12b16b1883492c5074fcebcc87b380e577cea3d43f25ef6df,默示船政,source_artist_label_not_externally_identity_verified,48,3000,I,0.131667,0.493812,0.654291,3.045174,0.359313,0.595667,0.947939
ALBL-ee761957fd84d9c113ca2d9014b1d2209def3e6742e7c877eae5c8bdcb8b533e,KITO,source_artist_label_not_externally_identity_verified,30,1601,I,0.134916,0.487047,0.644214,3.058592,0.417316,0.530918,0.944541
ALBL-ef963e525bebe48fd785903ab976c726352c21df455380b64bd62eb74a2ae1b4,Kandi 侃迪,source_artist_label_not_externally_identity_verified,34,1903,I,0.141881,0.515284,0.659389,2.89547,0.415885,0.651077,0.93626
ALBL-f01c232566c50c600194af8656475231127091412b8ac4819d979c7595e78db3,西奥,source_artist_label_not_externally_identity_verified,26,2065,I,0.130751,0.531513,0.673319,2.84997,0.422269,0.714286,0.949712
ALBL-f13232ac4d20a03d1895a207e1d242b71a0fff71fc387a2dce2728146c4583ea,王齐铭,source_artist_label_not_externally_identity_verified,30,1253,AN,0.156425,0.546595,0.681004,3.026441,0.481183,0.715882,0.953934
ALBL-f17a363490fbf411d96b103d956dc0fa2f5ffeed1ce475e10c0db695c00b516d,大D,source_artist_label_not_externally_identity_verified,42,1806,I,0.167774,0.467515,0.634293,2.570445,0.302153,0.565891,0.919579
ALBL-f1d17edd22455d0bb54bc9f551890a1040c9af1b1f7c4e516f53bb4c5cd7ad5b,OG Three,source_artist_label_not_externally_identity_verified,43,2159,I,0.162112,0.441745,0.620652,2.668647,0.296788,0.551181,0.936202
ALBL-f5b44700d88df27400bbc80123221c3d4510d850e6f6494eb136693cd655b7fa,红手指,source_artist_label_not_externally_identity_verified,6,398,A,0.123116,0.234463,0.463277,2.029742,0.282486,0.334171,0.939149
ALBL-f5c838e8479f7115b41dccc8470f0a7bf4f9af29972a3900d66118cbac0f88b3,万赛文,source_artist_label_not_externally_identity_verified,18,688,AN,0.149709,0.565371,0.676678,2.857587,0.349823,0.677326,0.924756
ALBL-f6c453a4cec050452655cd7fefbae80257efb4583635d09d28721f006bc73813,黄旭,source_artist_label_not_externally_identity_verified,23,1647,I,0.166363,0.383431,0.582111,2.562842,0.279001,0.484517,0.939304
ALBL-f7d16738e8a0e28cd1e8432bc528a43c0b30e4480724c7c5ec7308ebd620c3bc,吾人莲花,source_artist_label_not_externally_identity_verified,8,663,I,0.18552,0.59464,0.673367,2.716725,0.298157,0.74359,0.935392
ALBL-f82592dd2f2843d995b82060d966ef0133424aae05676b853f6742afe8e0a878,热狗,source_artist_label_not_externally_identity_verified,29,2088,I,0.131705,0.423286,0.589227,2.469087,0.294342,0.571839,0.936263
ALBL-fc83eb0c2b9caf7b6655f612f98b6c57a3a90e33dadb1e65cb5c8eaae604cd5a,Bridge,source_artist_label_not_externally_identity_verified,19,1082,I,0.173752,0.444444,0.614256,2.390763,0.349057,0.578558,0.928366
ALBL-fd0a058a50b05e2475b35bc7a53f2535fc78c8526b94226cb77723f1e78637ef,小酷coola,source_artist_label_not_externally_identity_verified,16,895,AN,0.140782,0.444301,0.638601,2.76232,0.514249,0.578771,0.936726
ALBL-fddf535e5b713884564473e370696e9d3ff93e4f56e8f974e38c66f522386646,Wya乌鸦,source_artist_label_not_externally_identity_verified,39,1861,AN,0.13756,0.443662,0.634443,2.707776,0.371928,0.544331,0.936238
ALBL-ffa5a6949797a99fe90a6aae5ad6a788e26cd47439ea35eaf1e71c156dd3a765,是Triple M,source_artist_label_not_externally_identity_verified,14,718,I,0.139276,0.462609,0.57913,2.502753,0.280488,0.612813,0.9243
