artist_label_id,source_artist_label,label_attribution_status,clean_song_count,independent_clean_song_count,primary_raw_chunk_count,primary_effective_text_mass,primary_unique_clean_text_count,sensitivity_raw_chunk_count,sensitivity_effective_text_mass,sensitivity_unique_clean_text_count,shared_text_dropped_effective_mass,shared_text_dropped_mass_share,eligible_primary_support,eligible_sensitivity_support,graph_node_eligible,stable_graph_degree
ALBL-e9a4c85e9728ea650fe95413c3e3e10896819996b77097c55e8b48164ad00e35,雲道,source_artist_label_not_externally_identity_verified,45,45,190,187.00000000,189,186,185.00000000,185,2.00000000,0.01069519,true,true,true,2
ALBL-1977978993b2949e4425ba3d1e00a27af4ff44e6123be893f0fff6439f76e7e3,雾都 (Wudu Montana),source_artist_label_not_externally_identity_verified,25,22,146,136.45000000,146,128,128.00000000,128,8.45000000,0.06192745,true,true,true,2
ALBL-4e54a62a05d1f56400be3f0236c912c2ff664b8c6dde57740d356b3d7321a4f4,顾帅,source_artist_label_not_externally_identity_verified,17,14,26,19.50000000,26,13,13.00000000,13,6.50000000,0.33333333,false,false,false,0
ALBL-b97bd56b9ca53434dfd6bfe48b6585fffd4ce36eddfbe206e6c90faf56a9d6cd,饺子,source_artist_label_not_externally_identity_verified,44,42,92,89.33333333,92,87,87.00000000,87,2.33333333,0.02611940,true,true,true,2
ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf,马思唯,source_artist_label_not_externally_identity_verified,48,39,259,223.96666667,259,195,195.00000000,195,28.96666667,0.12933472,true,true,true,4
ALBL-b52c78dfa2a2ff2d7ec488f577f8ebda42544eb7934fe0ac89eec2a1cc4ccb67,鹤无双,source_artist_label_not_externally_identity_verified,6,6,7,7.00000000,7,7,7.00000000,7,0.00000000,0.00000000,false,false,false,0
ALBL-2c0d33cebcdf6b69c4dbde5486faeab809292ba09e1c547ffa0bffdbf69312ac,鹿奇,source_artist_label_not_externally_identity_verified,45,45,72,71.50000000,72,71,71.00000000,71,0.50000000,0.00699301,true,true,true,0
ALBL-f6c453a4cec050452655cd7fefbae80257efb4583635d09d28721f006bc73813,黄旭,source_artist_label_not_externally_identity_verified,39,28,194,134.98333333,194,88,88.00000000,88,46.98333333,0.34806766,true,true,true,3
ALBL-3e8052851c5f2da0234ba405219252f0ffdf30904c8807e3dfdbe6d44d5b2ade,黄昭,source_artist_label_not_externally_identity_verified,26,26,44,44.00000000,44,44,44.00000000,44,0.00000000,0.00000000,true,true,true,0
ALBL-fc1f2ec2c82b8b22520e5ac8cc630a187b2c07d1ddca23ce6a44d4e62cf03c47,黄景行,source_artist_label_not_externally_identity_verified,1,1,1,1.00000000,1,1,1.00000000,1,0.00000000,0.00000000,false,false,false,0
ALBL-536fee976284475bffdb1a2ac7b7624e6dafda955551174ab0576d10f2aa283b,黑眼圈,source_artist_label_not_externally_identity_verified,4,4,7,7.00000000,7,7,7.00000000,7,0.00000000,0.00000000,false,false,false,0
ALBL-c59769af69edb396aee71a6ad277e7792d6a84c4d990757bf20412b33c8b7e24,黑螺丝,source_artist_label_not_externally_identity_verified,27,27,46,46.00000000,46,46,46.00000000,46,0.00000000,0.00000000,true,true,true,0
ALBL-7ba722009dee968fea666826254e4d7047ee83b9c2b6439061df005b6dfa14bf,黑麦,source_artist_label_not_externally_identity_verified,34,33,40,39.50000000,40,39,39.00000000,39,0.50000000,0.01265823,true,true,true,0
ALBL-ecfef7f6f92be0e12b16b1883492c5074fcebcc87b380e577cea3d43f25ef6df,默示船政,source_artist_label_not_externally_identity_verified,48,48,131,131.00000000,131,131,131.00000000,131,0.00000000,0.00000000,true,true,true,1
ALBL-c848d6a211291771f93cf108b05b8dc3f7b8fa0a009a6e63609a8b46233e27a4,龙井说唱 孙旭,source_artist_label_not_externally_identity_verified,18,16,122,111.58333333,122,106,106.00000000,106,5.58333333,0.05003734,true,true,true,0
ALBL-e60d314b51617b1122c7504e84f6cb188d601755a9f3ed2bf60c18533f42c483,龙井说唱 孙骁,source_artist_label_not_externally_identity_verified,16,16,31,29.66666667,31,29,29.00000000,29,0.66666667,0.02247191,true,true,true,0
ALBL-bc07eee818d2ef0c38ff7a0b3028cab50ff3f1609ec9a21979291bf20570bfd7,龙井说唱益晗,source_artist_label_not_externally_identity_verified,9,9,14,12.66666667,14,12,12.00000000,12,0.66666667,0.05263158,false,false,false,0
ALBL-cec5217a1ba6f2e262da20bd31748b0bc5f4f0dcc7dbf9542cd8d69ed4719a82,龙泽宇,source_artist_label_not_externally_identity_verified,35,34,118,106.00000000,118,94,94.00000000,94,12.00000000,0.11320755,true,true,true,1
ALBL-9756ee2b51bd71de0c83766a970f3e1a415810f7477491fbcac8582eb4cb2b32,龙胆紫,source_artist_label_not_externally_identity_verified,10,10,43,43.00000000,43,43,43.00000000,43,0.00000000,0.00000000,true,true,true,0
