artist_label_id,source_artist_label,label_attribution_status,external_identity_verified,graph_display_status
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9,徐真真,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-60eccc36c32218970b3d94d236a3f9a5010a2906badd89e7732720a6158408b0,德宏老爹,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-725a8caf4f4132e9734ee50844d011d83670da8006b97d5c112f6e33134115ff,恶童,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-e3629c2151d449562136201f8da51770a96f0b5e1d3ab3324e65c4f2fe40256d,揽佬,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-904fcc2d59908c38ed9f59b6a90b30096342461e51a746e515da335e08b6cf49,斯威特,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-6e2c5eea321edcf85b9bddb1be052f37af0d813916ec5db39e7691ed75c22ca0,新街口组合,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-477d40bab9415c1e1fc116f4efe1cd52564f26aef849d2f13bb16fcde179180b,方仔,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-ffa5a6949797a99fe90a6aae5ad6a788e26cd47439ea35eaf1e71c156dd3a765,是Triple M,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-416efb901b78e0dac353a88963abd0a86b5207467dd399395d3c77f99460a215,望江晴,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-2af009abc260058ed488c3cc5bd979e4028fa2b64a389c66f06c6ef5e8743d9a,木秦,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-df36480d1c39db0bd7c57e8729258ffe1f0e03d719943c6ade41e38e9f4c0dcd,杀手耗,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-247a321492792bdb57c32c163643edba2d15422f23a86af468d8f0bfb5c89077,李佳隆,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-19e6d081ff62ae40b3e88e22cef1e5d0ec872a8e6f3866590efc6d45eb909d16,李大奔BENZO,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-3cad4bc48210e7a5cf32ff99ce7ae3df3176d7e60f4c53f22f21645ec3e15fad,李小龙,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608,李尔新,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-cd9f7aaab55c5ae86a60abdfb037d7af75d0de0443a6fade6adadc7eeab5a80f,杨和苏KeyNG,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-6fb00601b23592ac5bee90a3557f53be2b8b4a9e01b50bedf6a92a352e1c4d6b,杨布拉德,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-11f90a8c55fbe0699911c1c19ab4046d0a93a992a97ac914cf60449351307a39,梁维嘉,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9,梁老师Tsong,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-68861076b744e959ac73e2117efa8b1b2b9c67339252c49fa74c306ae22b118d,正义感,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-8f24549b7a19479569b835736802bf6068abe35f8cc0b51ddadbcb7136426a0e,武生,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-80561edbbd5c6ea08e94edfc2eac0bcf8fb1e9ca32e45c976929b3e11649b167,毒蟑螂,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-46dd37bc0c25da1f0654922212590d79f5ab87861cce1ec0a751094175904067,江旻勋,source_artist_label_not_externally_identity_verified,false,support_below_protocol_threshold
ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a,河南说唱之神,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-800378ed0482ee65717309245d95ab4ddd74395ddce9272aa4a50433bad833f6,法老,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-2c8bc6640d674fb0494ab3a0352bfacdd7243a34c724124ee036737fd0d39b2d,泰格西,source_artist_label_not_externally_identity_verified,false,eligible
ALBL-c28203421388af56e88d8f0ad4f9f31fd91f1b6e3815ee08511ee620b9046d21,派克特,source_artist_label_not_externally_identity_verified,false,eligible
