artist_label_id_a,source_artist_label_a,artist_label_id_b,source_artist_label_b,primary_rank_a_to_b,primary_rank_b_to_a,primary_cosine_similarity,primary_pair_percentile,sensitivity_rank_a_to_b,sensitivity_rank_b_to_a,sensitivity_cosine_similarity,sensitivity_pair_percentile,stable_across_shared_text_exclusion,edge_definition
ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b,姜云升,ALBL-33f39cebde978ce9aa6e4c3876032ec25f0e8d1871843f6f21ed6dd57e8d7d4a,河南说唱之神,3,2,0.97622587,97.72046750,3,2,0.97596376,99.12102772,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b3dec828679c767afa3e13f22a6124b9e70b8f8a07941068f89132a6c497954b,姜云升,ALBL-cd62211172109255e518aac9c918feef626c1ec8599caa975e444bfce28c7e28,爆音Boom,4,1,0.97588103,97.45001449,4,1,0.97595692,99.10653917,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-2b47111c3ae429f7fd49243653f4b70387bf44642bbb3d8c30fd5cc8b8063b34,孔令奇,ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,艾福杰尼,2,5,0.98198608,99.75369458,2,3,0.98093483,99.92272771,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,宝石老舅,ALBL-91e7e3cdbb244167ab7bd584a228ec96d1798f373702980135847af0b640afa5,艾热 AIR,1,5,0.98140716,99.69091085,4,5,0.97633930,99.25625423,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-da9d5eb8de99255ccb4d6af827d525b9756ed63f0144d90067a98ac15e7404e8,宝石老舅,ALBL-b2a691a1a1df18c00b161abfd5f160861921f76fd419e4a473cba62f11a6bdc2,辛巴,3,2,0.97996576,99.40113977,2,3,0.97741269,99.48807109,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,小鸭哥,ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608,李尔新,2,4,0.98247065,99.82613735,5,1,0.97850809,99.71505844,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,小鸭哥,ALBL-1977978993b2949e4425ba3d1e00a27af4ff44e6123be893f0fff6439f76e7e3,雾都 (Wudu Montana),4,3,0.98099943,99.63295663,3,1,0.97978123,99.86477350,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b63cf1e776045825584819d4a14d194bd5a31d3d26a8b732ba027e3967fb2bac,小鸭哥,ALBL-f6c453a4cec050452655cd7fefbae80257efb4583635d09d28721f006bc73813,黄旭,1,3,0.98403605,99.94204578,2,1,0.98037009,99.90340964,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-b4d84befc7e96dbb8387757e7d31f4727c1237610f3bd1ee0bea968bcd69b253,张千,ALBL-794d5a373c990e135a5ac3527a23c5c8c9431cb100be6cc02eaab0e303e3160e,阿斯巴田,4,5,0.97777804,98.61875785,2,1,0.97788617,99.62812711,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,张雪飞,ALBL-6e2c5eea321edcf85b9bddb1be052f37af0d813916ec5db39e7691ed75c22ca0,新街口组合,1,1,0.98023749,99.43011687,1,1,0.97983379,99.87443253,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-de0f80e3bfa4aad6217752f1c1440d11228188a028dc94fa69b1f787401c2def,张雪飞,ALBL-5588dea76589911df854bcd8ae85996bb26f89521d661f3f591f4f339057cd55,老黑Black J,2,1,0.97858730,98.96648314,2,1,0.97821723,99.68125181,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-ec3093fcb691301b6cc4a5e0a5c9ee093e661b6b35b618255b5590bc4b0c8826,张颜齐,ALBL-91e7e3cdbb244167ab7bd584a228ec96d1798f373702980135847af0b640afa5,艾热 AIR,1,2,0.98258206,99.84062591,1,2,0.97806250,99.66676326,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9,徐真真,ALBL-284f21f38fb89fffc6231f1c8e4e864ddfb421bed3792bc18e665896dd0864c9,梁老师Tsong,1,1,0.98600535,99.99517048,1,1,0.98474528,100.00000000,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-0929cce7f34a4cdb493f568ffaa9af65e0d1e65bd213ca7ccc8238383301f5d9,徐真真,ALBL-b97bd56b9ca53434dfd6bfe48b6585fffd4ce36eddfbe206e6c90faf56a9d6cd,饺子,4,2,0.98119437,99.65710422,3,1,0.98072880,99.91789819,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-e3629c2151d449562136201f8da51770a96f0b5e1d3ab3324e65c4f2fe40256d,揽佬,ALBL-50741b2ec0bf3af4af14534601eb2b25106535e1be6e7fa756e6062fa54090e3,金蛇 traphouse,2,1,0.95843910,66.75359799,1,1,0.94447298,48.41591809,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-904fcc2d59908c38ed9f59b6a90b30096342461e51a746e515da335e08b6cf49,斯威特,ALBL-f13232ac4d20a03d1895a207e1d242b71a0fff71fc387a2dce2728146c4583ea,王齐铭,1,2,0.97534760,97.01052835,2,1,0.97372829,98.23239641,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-6e2c5eea321edcf85b9bddb1be052f37af0d813916ec5db39e7691ed75c22ca0,新街口组合,ALBL-5588dea76589911df854bcd8ae85996bb26f89521d661f3f591f4f339057cd55,老黑Black J,4,2,0.97289201,94.83241572,3,2,0.97289201,97.71080846,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-19e6d081ff62ae40b3e88e22cef1e5d0ec872a8e6f3866590efc6d45eb909d16,李大奔BENZO,ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8,班比 Bambii,3,2,0.98359883,99.91789819,2,2,0.98176797,99.95170482,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-19e6d081ff62ae40b3e88e22cef1e5d0ec872a8e6f3866590efc6d45eb909d16,李大奔BENZO,ALBL-e36a821d097c02334c1e15e0e35e40107b21fac23a4c1d89fe9b45f1030533c5,艾福杰尼,2,2,0.98382810,99.93238675,3,2,0.98116883,99.93721627,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-19e6d081ff62ae40b3e88e22cef1e5d0ec872a8e6f3866590efc6d45eb909d16,李大奔BENZO,ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf,马思唯,1,1,0.98637894,100.00000000,1,2,0.98283712,99.97102289,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-668adef71637ce73ed0d6930da3df75035de7b9f85a5b5d81a63482870edf608,李尔新,ALBL-c8913c29ed1bccc83766366e0c593a46aecfcfec350af2ca425ad6fa27b75a61,邓典果,1,1,0.98568245,99.99034096,2,1,0.97843105,99.70056988,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-cd9f7aaab55c5ae86a60abdfb037d7af75d0de0443a6fade6adadc7eeab5a80f,杨和苏KeyNG,ALBL-c28203421388af56e88d8f0ad4f9f31fd91f1b6e3815ee08511ee620b9046d21,派克特,2,1,0.98128902,99.68125181,4,2,0.97354151,98.15029460,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-05027a559ca8274e1af58649dead83910cf96e6bbae590d148a5efe5010ede07,王以太,ALBL-f6c453a4cec050452655cd7fefbae80257efb4583635d09d28721f006bc73813,黄旭,1,1,0.98555126,99.98551145,1,3,0.97902112,99.78750121,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-73c8a1a36223a670dc4911fa645f78397410791c1681cf627e1903abaceeedf8,班比 Bambii,ALBL-a93087c6798ab7596000fae7b23bb99f5528ef60d41242c5914dcb12836422cf,马思唯,1,3,0.98456993,99.95653434,1,1,0.98331503,99.98068193,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
ALBL-792d55b0a19edfc124c50aba34e23dc8797d058ad9d19feb36f247dd21034d18,罗言,ALBL-b97bd56b9ca53434dfd6bfe48b6585fffd4ce36eddfbe206e6c90faf56a9d6cd,饺子,4,1,0.98217045,99.77784217,2,4,0.97775498,99.57983193,true,mutual_top_5_neighbours_in_primary_duplicate_weighted_chunk_centroids_and_shared_text_exclusion_sensitivity
